siren,nic,siret,trancheEffectifsEtablissement,etablissementSiege,categorieJuridiqueUniteLegale,denominationUniteLegale,activitePrincipaleUniteLegale,trancheEffectifsUniteLegale,categorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,enseigne1Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,caractereEmployeurEtablissement,naf.niv4,naf.niv3,naf.niv2,sectionActivitePrincipaleUniteLegale,libelleSectionActivitePrincipaleUniteLegale,libelleActivitePrincipaleUniteLegale,tranche_ca_millesime_1,tranche_ca_millesime_2,tranche_ca_millesime_3,CA,nom_zone_d_activite
489649194,00052,48964919400052,11,false,5710,CALCULUS INTERNATIONAL,69.20Z,12,PME,,23,RUE,ICARE,67960,ENTZHEIM,,67124,,,,,69.20Z,O,69.20,69.2,69,M,"Activités spécialisées, scientifiques et techniques",Activités comptables,,,,,aeroparc
490176120,01179,49017612001179,03,false,5710,APPART'CITY,55.20Z,42,ETI,,5,RUE,DU TONNELIER,67960,ENTZHEIM,,67124,,,APPART'CITY,,55.10Z,O,55.20,55.2,55,I,Hébergement et restauration,Hébergement touristique et autre hébergement de courte durée,,,,,aeroparc
490676293,00692,49067629300692,NN,false,5710,QUALICONSULT IMMOBILIER,71.20B,32,ETI,IMMEUBLE SAINT EXUPERY,2,RUE,DES HERONS,67960,ENTZHEIM,,67124,,,QUALICONSULT IMMOBILIER,,71.20B,O,71.20,71.2,71,M,"Activités spécialisées, scientifiques et techniques","Analyses, essais et inspections techniques",,,,,aeroparc
491766424,00031,49176642400031,02,true,5499,SIAGEO,46.47Z,02,PME,,6,RUE,ICARE,67960,ENTZHEIM,,67124,,,,,46.47Z,N,46.47,46.4,46,G,Commerce ; réparation d'automobiles et de motocycles,"Commerce de gros (commerce interentreprises) de meubles, de tapis et d'appareils d'éclairage",E + d 1M,E + d 1M,E + d 1M,,aeroparc
491842571,00078,49184257100078,,false,5499,CYRIUS CONSULTING,71.12B,03,PME,,16,RUE,DES CIGOGNES,67960,ENTZHEIM,,67124,,,,CYRIUS SYSTEMS,71.12B,O,71.12,71.1,71,M,"Activités spécialisées, scientifiques et techniques","Ingénierie, études techniques",,,,,aeroparc
492227848,00032,49222784800032,02,true,5499,PHILIPPE BELLIN ECONOMIE,71.12B,02,PME,,2,RUE,PEGASE,67960,ENTZHEIM,,67124,,,,,71.12B,O,71.12,71.1,71,M,"Activités spécialisées, scientifiques et techniques","Ingénierie, études techniques",,,,,aeroparc
493391114,00144,49339111400144,03,false,5710,VIESSMANN FRANCE,46.74B,32,ETI,2EME ETAGE,7,RUE,ICARE,67960,ENTZHEIM,,67124,,,,,46.74B,O,46.74,46.7,46,G,Commerce ; réparation d'automobiles et de motocycles,Commerce de gros (commerce interentreprises) de fournitures pour la plomberie et le chauffage,,,,,aeroparc
494443419,00069,49444341900069,,false,5710,CARRE EST,41.10A,21,ETI,,2,RUE,DES HERONS,67960,ENTZHEIM,,67124,,,,,41.10A,O,41.10,41.1,41,F,Construction,Promotion immobilière de logements,,,,,aeroparc
494626773,00035,49462677300035,03,false,5710,SOA PEOPLE SAS,62.02A,21,PME,1A,,RUE,PEGASE,67960,ENTZHEIM,,67124,,,,,62.02A,O,62.02,62.0,62,J,Information et communication,Conseil en systèmes et logiciels informatiques,,,,,aeroparc
494938871,00030,49493887100030,03,false,5710,FRACHT FRANCE,52.29B,21,PME,BUREAU 4 2EME ETAGE BAT ST EXUPERY,,,ZONE FRET OUEST,67960,ENTZHEIM,,67124,,,,,52.29B,O,52.29,52.2,52,H,Transports et entreposage,Affrètement et organisation des transports,,,,,aeroparc
495409492,00024,49540949200024,02,true,5499,WATERCAT,47.78C,02,PME,IMMEUBLE LE PLANEO,4,RUE,ICARE,67960,ENTZHEIM,,67124,,,,,47.78C,O,47.78,47.7,47,G,Commerce ; réparation d'automobiles et de motocycles,Autres commerces de détail spécialisés divers,,,,,aeroparc
