IRIS,REG,DEP,UU2010,COM,LIBCOM,TRIRIS,GRD_QUART,LIBIRIS,TYP_IRIS,MODIF_IRIS,LAB_IRIS,P10_POP0205,P10_POP0610,P10_POP1114,P10_POP1517,P10_POP1824,P10_POP2529,P10_POP30P,P10_SCOL0205,P10_SCOL0610,P10_SCOL1114,P10_SCOL1517,P10_SCOL1824,P10_SCOL2529,P10_SCOL30P,P10_NSCOL15P,P10_NSCOL15P_DIPL0,P10_NSCOL15P_CEP,P10_NSCOL15P_BEPC,P10_NSCOL15P_CAPBEP,P10_NSCOL15P_BAC,P10_NSCOL15P_BACP2,P10_NSCOL15P_SUP,P10_HNSCOL15P,P10_HNSCOL15P_DIPL0,P10_HNSCOL15P_CEP,P10_HNSCOL15P_BEPC,P10_HNSCOL15P_CAPBEP,P10_HNSCOL15P_BAC,P10_HNSCOL15P_BACP2,P10_HNSCOL15P_SUP,P10_FNSCOL15P,P10_FNSCOL15P_DIPL0,P10_FNSCOL15P_CEP,P10_FNSCOL15P_BEPC,P10_FNSCOL15P_CAPBEP,P10_FNSCOL15P_BAC,P10_FNSCOL15P_BACP2,P10_FNSCOL15P_SUP
751051703,11,75,851,75105,Paris 5e Arrondissement,750151,7510517,Saint-Victor 3,H,0,1,133,148,134,109,539,294,1479,96,145,134,105,467,84,62,1703,122,40,48,122,186,271,914,795,64,6,20,58,82,100,464,908,58,34,28,63,104,171,451
751051704,11,75,851,75105,Paris 5e Arrondissement,750141,7510517,Saint-Victor 4,H,0,1,99,120,77,93,429,373,2007,78,120,73,93,375,62,77,2294,129,39,105,118,341,281,1281,1106,36,10,46,64,155,139,656,1188,92,29,59,54,185,143,626
751051705,11,75,851,75105,Paris 5e Arrondissement,750141,7510517,Saint-Victor 5,H,0,1,59,52,77,41,317,195,1542,43,52,77,38,246,48,49,1714,147,59,47,55,262,186,956,855,81,15,24,35,130,83,488,858,67,44,23,20,133,103,468
751051706,11,75,851,75105,Paris 5e Arrondissement,750141,7510517,Saint-Victor 6,A,0,3,2,1,0,0,0,0,23,2,1,0,0,0,0,0,23,9,0,0,4,3,1,6,18,9,0,0,3,3,0,3,5,0,0,0,1,0,1,3
751051799,11,75,851,75105,Paris 5e Arrondissement,750141,7510517,Seine et berges,D,0,3,0,0,0,0,2,3,18,0,0,0,0,2,3,0,18,1,1,0,1,2,2,11,18,1,1,0,1,2,2,11,0,0,0,0,0,0,0,0
751051801,11,75,851,75105,Paris 5e Arrondissement,750161,7510518,Jardin des Plantes 1,H,0,1,21,60,27,32,256,235,976,12,60,27,32,192,37,38,1200,44,10,59,74,129,149,734,552,18,1,27,29,71,74,331,648,26,9,31,45,59,75,403
751051802,11,75,851,75105,Paris 5e Arrondissement,750181,7510518,Jardin des Plantes 2,H,0,2,93,96,108,56,357,376,1484,66,93,108,56,302,79,70,1768,116,151,52,78,229,265,877,802,60,32,18,36,110,95,452,965,56,119,34,43,119,169,425
751051803,11,75,851,75105,Paris 5e Arrondissement,750181,7510518,Jardin des Plantes 3,H,0,1,68,67,42,50,281,215,1326,57,63,42,50,233,69,44,1475,83,31,26,70,252,166,847,605,34,3,7,27,95,39,399,870,49,28,18,43,156,127,448
751051804,11,75,851,75105,Paris 5e Arrondissement,750181,7510518,Jardin des Plantes 4,H,0,1,85,79,66,52,259,234,1549,70,78,66,52,210,71,28,1734,184,104,120,122,264,200,740,735,75,33,53,62,96,68,348,999,109,71,67,60,168,132,392
751051805,11,75,851,75105,Paris 5e Arrondissement,750161,7510518,Jardin des Plantes 5,H,0,1,107,170,114,77,447,339,2223,84,167,113,75,380,92,44,2496,191,129,87,143,336,332,1278,1078,88,33,17,78,147,113,603,1418,103,96,71,66,189,219,675
751051806,11,75,851,75105,Paris 5e Arrondissement,750171,7510518,Jardin des Plantes 6,H,0,1,92,85,51,54,323,174,1292,55,79,51,53,254,28,56,1451,112,68,72,119,160,142,778,613,42,21,30,59,68,61,331,838,70,47,42,60,91,81,447
751051807,11,75,851,75105,Paris 5e Arrondissement,750171,7510518,Jardin des Plantes 7,H,0,1,74,83,63,50,311,281,1293,48,83,63,50,247,55,36,1547,120,78,52,95,267,196,739,689,30,19,22,54,128,76,361,859,90,60,30,41,139,121,378
751051808,11,75,851,75105,Paris 5e Arrondissement,750171,7510518,Jardin des Plantes 8,H,0,1,84,71,42,35,274,151,1150,59,64,42,35,226,32,48,1267,112,46,22,58,119,148,762,586,77,6,3,29,42,59,369,681,35,39,19,29,77,89,392
751051809,11,75,851,75105,Paris 5e Arrondissement,750161,7510518,Jardin des Plantes,D,0,3,0,0,0,0,2,2,13,0,0,0,0,2,0,4,11,0,2,0,2,2,0,4,9,0,0,0,2,2,0,4,2,0,2,0,0,0,0,0
751051899,11,75,851,75105,Paris 5e Arrondissement,750161,7510518,Seine et berges,D,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751051901,11,75,851,75105,Paris 5e Arrondissement,750191,7510519,Val de Grace 1,H,0,1,67,79,69,60,540,309,1636,55,76,69,60,490,97,52,1846,111,79,70,75,211,144,1156,870,40,27,13,43,83,52,612,976,72,52,56,32,128,93,544
751051902,11,75,851,75105,Paris 5e Arrondissement,750191,7510519,Val de Grace 2,H,0,1,34,49,49,56,273,220,1126,28,49,49,56,203,64,37,1314,61,41,24,96,198,182,713,603,32,21,12,49,55,55,379,712,29,20,12,47,143,127,335
