siret,siren,denominationUniteLegale,localisation,trancheEffectifsEtablissement,libelleActivitePrincipaleUniteLegale,libelleSectionActivitePrincipaleUniteLegale,CA,latitude,longitude,trancheEffectifsEtablissementNum
44062675200032,440626752,AVECO,Aéroparc,11,Activités comptables,"Activités spécialisées, scientifiques et techniques",Inconnu,48.541017,7.649121,15
44093371100010,440933711,CLIMATISATION GILBERT,Plaine de la Bruche,11,Travaux d'installation d'équipements thermiques et de climatisation,Construction,Inconnu,48.539525,7.569493,15
44284892500446,442848925,QUALICONSULT EXPLOITATION,Aéroparc,11,"Analyses, essais et inspections techniques","Activités spécialisées, scientifiques et techniques",E + d 1M,48.54349,7.65139,15
44308835600037,443088356,E. C. PARTENAIRE,Aéroparc,12,Activités comptables,"Activités spécialisées, scientifiques et techniques",Inconnu,48.546207,7.653832,35
44357219300037,443572193,CTE STRASBOURG,Aéroparc,11,"Ingénierie, études techniques","Activités spécialisées, scientifiques et techniques",E + d 1M,48.542684,7.649265,15
44466909700016,444669097,KOVACIC HABITAT,Plaine de la Bruche,12,Travaux de menuiserie bois et PVC,Construction,E + d 1M,48.548839,7.566891,35
44487260000036,444872600,PRESTALOC,Plaine de la Bruche,11,Location et location-bail d'autres biens personnels et domestiques,Activités de services administratifs et de soutien,E + d 1M,48.539078,7.586964,15
44529759100023,445297591,SAVEURS & DELICES,Aéroport/Hangenbieten,12,Services des traiteurs,Hébergement et restauration,A - de 32K,48.54601,7.62522,35
47914443800187,479144438,COMM,Aéroparc,11,Programmation informatique,Information et communication,E + d 1M,48.544241,7.650943,15
48003520300037,480035203,ITEA,Aéroparc,12,Conseil en systèmes et logiciels informatiques,Information et communication,E + d 1M,48.545442,7.655329,35
48035231900044,480352319,ACESI FRANCE,Aéroparc,11,Conseil en systèmes et logiciels informatiques,Information et communication,E + d 1M,48.546207,7.653832,15
48121600000044,481216000,BT-INFO,Aéroport/Hangenbieten,11,Conseil en systèmes et logiciels informatiques,Information et communication,Inconnu,48.54601,7.62522,15
48484124200031,484841242,NOVEO,Aéroparc,12,"Ingénierie, études techniques","Activités spécialisées, scientifiques et techniques",Inconnu,48.546207,7.653832,35
48521946300091,485219463,ATELIO,Aéroparc,11,"Ingénierie, études techniques","Activités spécialisées, scientifiques et techniques",E + d 1M,48.541017,7.649121,15
48817484800025,488174848,TOPAZE PROMOTION,Aéroparc,11,Promotion immobilière de logements,Construction,E + d 1M,48.545442,7.655329,15
48831970800027,488319708,SARL JERODIS,Aéroparc,11,Supermarchés,Commerce ; réparation d'automobiles et de motocycles,E + d 1M,48.538455,7.647272,15
48964919400052,489649194,CALCULUS INTERNATIONAL,Aéroparc,11,Activités comptables,"Activités spécialisées, scientifiques et techniques",A - de 32K,48.546799,7.654145,15
49319140700391,493191407,KUEHNE + NAGEL ROAD,Joffre,22,Transports routiers de fret interurbains,Transports et entreposage,E + d 1M,48.560762,7.652899,150
49342589600013,493425896,EIFFAGE ENERGIE SYSTEMES - LOHNER MAINTENANCE ET TECHNIQUE,Plaine de la Bruche,11,Travaux d'installation d'équipements thermiques et de climatisation,Construction,E + d 1M,48.538189,7.590119,15
49488763100039,494887631,MARS PF FRANCE,Plaine de la Bruche,32,Fabrication d'aliments pour animaux de compagnie,Industrie manufacturière,E + d 1M,48.546971,7.569254,375
49816812900019,498168129,EIFFAGE ENERGIE SYSTEMES - ALSACE SANITAIRE CHAUFFAGE,Plaine de la Bruche,11,Travaux d'installation d'équipements thermiques et de climatisation,Construction,E + d 1M,48.538189,7.590119,15
50025622700041,500256227,COLVEMAT BTP,Plaine de la Bruche,12,"Commerce de gros (commerce interentreprises) de machines pour l'extraction, la construction et le génie civil",Commerce ; réparation d'automobiles et de motocycles,E + d 1M,48.539699,7.574218,35
50083313200029,500833132,ART RESTORATION,Joffre,11,Entretien et réparation d'autres véhicules automobiles,Commerce ; réparation d'automobiles et de motocycles,Inconnu,48.557802,7.653864,15
50086532400023,500865324,AVENIR TRANSPORT EXPRESS 67,Plaine de la Bruche,11,"Messagerie, fret express",Transports et entreposage,E + d 1M,48.539699,7.574218,15
50088667600047,500886676,STEF LOGISTIQUE ALSACE,Plaine de la Bruche,11,Entreposage et stockage frigorifique,Transports et entreposage,E + d 1M,48.543183,7.584924,15
50136950800046,501369508,NEWTL,Village-DUPPIGHEIM,22,Construction de locomotives et d'autre matériel ferroviaire roulant,Industrie manufacturière,E + d 1M,48.529068,7.59447,150
50205031300035,502050313,LTI SOFTINVEST,Aéroparc,11,Édition de logiciels applicatifs,Information et communication,E + d 1M,48.545947,7.651214,15
50362080900015,503620809,BOUJ'EXPRESS,Village-DUTTLENHEIM,11,Transports routiers de fret interurbains,Transports et entreposage,Inconnu,48.525143,7.569084,15
50388201100011,503882011,DIGEL FRANCE,Aéroparc,12,Commerce de détail d'habillement en magasin spécialisé,Commerce ; réparation d'automobiles et de motocycles,E + d 1M,48.545442,7.655329,35
50844694500018,508446945,KOVACIC INDUSTRIES,Plaine de la Bruche,12,Fabrication de portes et fenêtres en métal,Industrie manufacturière,E + d 1M,48.548839,7.566891,35
50851378500271,508513785,SOCOPA VIANDES,Joffre,22,Transformation et conservation de la viande de boucherie,Industrie manufacturière,Inconnu,48.559538,7.654311,150
50960128200072,509601282,ALTITUDE INFRASTRUCTURE CONSTRUCTION,Aéroparc,12,Construction de réseaux électriques et de télécommunications,Construction,E + d 1M,48.546549,7.652076,35
51892720700028,518927207,ACESI GROUP,Aéroparc,11,Fonds de placement et entités financières similaires,Activités financières et d'assurance,E + d 1M,48.546207,7.653832,15
